firstname,lastname,sex,country,name,ISO alpha 2,ISO alpha 3
Kjetil,Nilsen,Male,Norway,Norway,NO,NOR
Hege,Haugen,Female,Norway,Norway,NO,NOR
Tor,Berg,Male,Norway,Norway,NO,NOR
Ingrid,Gundersen,Female,Norway,Norway,NO,NOR
Stian,Rønningen,Male,Norway,Norway,NO,NOR
Marit,Larsen,Female,Norway,Norway,NO,NOR
Jakub,Kowalski,Male,Poland,Poland,PL,POL
Piotr,Wojciechowski,Male,Poland,Poland,PL,POL
Katarzyna,Kowalska,Female,Poland,Poland,PL,POL
Michał,Zieliński,Male,Poland,Poland,PL,POL
Agnieszka,Kamińska,Female,Poland,Poland,PL,POL
Mateusz,Górski,Male,Poland,Poland,PL,POL
Anna,Mazurek,Female,Poland,Poland,PL,POL
Krzysztof,Krawczyk,Male,Poland,Poland,PL,POL
Magdalena,Szymańska,Female,Poland,Poland,PL,POL
Łukasz,Jankowski,Male,Poland,Poland,PL,POL
Luca,Rossi,Male,Italy,Italy,IT,ITA
Alessandro,Bianchi,Male,Italy,Italy,IT,ITA
Giulia,Giovanni,Female,Italy,Italy,IT,ITA
Marco,Ferrari,Male,Italy,Italy,IT,ITA
Sofia,Rizzo,Female,Italy,Italy,IT,ITA
Giovanni,Pietro,Male,Italy,Italy,IT,ITA
Chiara,Battista,Female,Italy,Italy,IT,ITA
Andrea,Mancini,Male,Italy,Italy,IT,ITA
Lorenzo,Cortese,Male,Italy,Italy,IT,ITA
Francesca,Grazia,Female,Italy,Italy,IT,ITA
Oliver,Brown,Male,United Kingdom,United Kingdom,GB,GBR
Emily,Taylor,Female,United Kingdom,United Kingdom,GB,GBR
Jack,Harris,Male,United Kingdom,United Kingdom,GB,GBR
Sophie,Lee,Female,United Kingdom,United Kingdom,GB,GBR
Thomas,Walker,Male,United Kingdom,United Kingdom,GB,GBR
Hannah,Martin,Female,United Kingdom,United Kingdom,GB,GBR
Benjamin,Hall,Male,United Kingdom,United Kingdom,GB,GBR
Jessica,White,Female,United Kingdom,United Kingdom,GB,GBR
Alexander,Robinson,Male,United Kingdom,United Kingdom,GB,GBR
Charlotte,Davis,Female,United Kingdom,United Kingdom,GB,GBR
Mihai,Popescu,Male,Romania,Romania,RO,ROU
Andrei,Ionescu,Male,Romania,Romania,RO,ROU
Ana,Baciu,Female,Romania,Romania,RO,ROU
Lucian,Dumitrescu,Male,Romania,Romania,RO,ROU
Elena,Stanescu,Female,Romania,Romania,RO,ROU
Cristian,Gheorghe,Male,Romania,Romania,RO,ROU
Simona,Petrica,Female,Romania,Romania,RO,ROU
Dragos,Muresan,Male,Romania,Romania,RO,ROU
Adriana,Iacob,Female,Romania,Romania,RO,ROU
Alexandru,Bucur,Male,Romania,Romania,RO,ROU
Sergei,Kuznetsov,Male,Belarus,Belarus,BY,BLR
Vitali,Petrov,Male,Belarus,Belarus,BY,BLR
Natalia,Kuznetsova,Female,Belarus,Belarus,BY,BLR
Andrei,Semenko,Male,Belarus,Belarus,BY,BLR
Svetlana,Bogdanova,Female,Belarus,Belarus,BY,BLR
Vladimir,Kovalchuk,Male,Belarus,Belarus,BY,BLR
Yuliya,Korotkova,Female,Belarus,Belarus,BY,BLR
Oleg,Kuzmin,Male,Belarus,Belarus,BY,BLR
Olga,Petrova,Female,Belarus,Belarus,BY,BLR
Alexander,Sidorov,Male,Belarus,Belarus,BY,BLR
Georgios,Papadopoulos,Male,Greece,Greece,GR,GRC
Andreas,Karamanos,Male,Greece,Greece,GR,GRC
Maria,Koukou,Female,Greece,Greece,GR,GRC
Konstantinos,Tsakiris,Male,Greece,Greece,GR,GRC
Eleni,Papageorgiou,Female,Greece,Greece,GR,GRC
Ioannis,Kalogeras,Male,Greece,Greece,GR,GRC
Aikaterini,Vasilaki,Female,Greece,Greece,GR,GRC
Nikolaos,Kotsopoulos,Male,Greece,Greece,GR,GRC
Eleni,Koukou,Female,Greece,Greece,GR,GRC
Christos,Mavromatis,Male,Greece,Greece,GR,GRC
Ivan,Petrov,Male,Bulgaria,Bulgaria,BG,BGR
Georgi,Dimitrov,Male,Bulgaria,Bulgaria,BG,BGR
Stefan,Stefanov,Male,Bulgaria,Bulgaria,BG,BGR
Maria,Ivanova,Female,Bulgaria,Bulgaria,BG,BGR
Vasil,Vasilev,Male,Bulgaria,Bulgaria,BG,BGR
Nikola,Nikolov,Male,Bulgaria,Bulgaria,BG,BGR
Radoslava,Radoslavova,Female,Bulgaria,Bulgaria,BG,BGR
Dimitar,Dimitrov,Male,Bulgaria,Bulgaria,BG,BGR
Sofia,Sofieva,Female,Bulgaria,Bulgaria,BG,BGR
Krasimir,Krasimirov,Male,Bulgaria,Bulgaria,BG,BGR
Arni,Gudmundsson,Male,Iceland,Iceland,IS,ISL
Olafur,Hjaltason,Male,Iceland,Iceland,IS,ISL
Gudrun,Einarsson,Female,Iceland,Iceland,IS,ISL
Bjorn,Kristjansson,Male,Iceland,Iceland,IS,ISL
Solveig,Gunnarsson,Female,Iceland,Iceland,IS,ISL
Einar,Petursson,Male,Iceland,Iceland,IS,ISL
Helga,Johannsdottir,Female,Iceland,Iceland,IS,ISL
Gunnar,Thorsteinsson,Male,Iceland,Iceland,IS,ISL
Astrid,Sigurdardottir,Female,Iceland,Iceland,IS,ISL
Jon,Arnarson,Male,Iceland,Iceland,IS,ISL
João,Silva,Male,Portugal,Portugal,PT,PRT
Luís,Fernandes,Male,Portugal,Portugal,PT,PRT
Miguel,Rocha,Male,Portugal,Portugal,PT,PRT
Rafael,Gomes,Male,Portugal,Portugal,PT,PRT
Sofia,Mendes,Female,Portugal,Portugal,PT,PRT
Ana,Costa,Female,Portugal,Portugal,PT,PRT
Pedro,Martins,Male,Portugal,Portugal,PT,PRT
Beatriz,Almeida,Female,Portugal,Portugal,PT,PRT
Tiago,Santos,Male,Portugal,Portugal,PT,PRT
Luísa,Pereira,Female,Portugal,Portugal,PT,PRT
Lukas,Novak,Male,Czech Republic,Czech Republic,CZ,CZE
Tomas,Krejci,Male,Czech Republic,Czech Republic,CZ,CZE
Pavel,Hlavacek,Male,Czech Republic,Czech Republic,CZ,CZE
Jan,Kolar,Male,Czech Republic,Czech Republic,CZ,CZE
Marketa,Kralova,Female,Czech Republic,Czech Republic,CZ,CZE
Lucie,Novotna,Female,Czech Republic,Czech Republic,CZ,CZE
David,Veselý,Male,Czech Republic,Czech Republic,CZ,CZE
Petra,Svobodova,Female,Czech Republic,Czech Republic,CZ,CZE
Ondrej,Krejcir,Male,Czech Republic,Czech Republic,CZ,CZE
Barbora,Hlavackova,Female,Czech Republic,Czech Republic,CZ,CZE
Mads,Jensen,Male,Denmark,Denmark,DK,DNK
Lars,Hansen,Male,Denmark,Denmark,DK,DNK
Sofie,Pedersen,Female,Denmark,Denmark,DK,DNK
Rasmus,Andersen,Male,Denmark,Denmark,DK,DNK
Emma,Nielsen,Female,Denmark,Denmark,DK,DNK
Christian,Mortensen,Male,Denmark,Denmark,DK,DNK
Camilla,Rasmussen,Female,Denmark,Denmark,DK,DNK
Thomas,Johansen,Male,Denmark,Denmark,DK,DNK
Anna,Kristensen,Female,Denmark,Denmark,DK,DNK
Simon,Larsen,Male,Denmark,Denmark,DK,DNK
László,Kovács,Male,Hungary,Hungary,HU,HUN
Máté,Nagy,Male,Hungary,Hungary,HU,HUN
Gábor,Szabó,Male,Hungary,Hungary,HU,HUN
Anna,Kovács,Female,Hungary,Hungary,HU,HUN
Dániel,Fekete,Male,Hungary,Hungary,HU,HUN
Réka,Balogh,Female,Hungary,Hungary,HU,HUN
Bence,Hajdú,Male,Hungary,Hungary,HU,HUN
Beatrix,Tóth,Female,Hungary,Hungary,HU,HUN
Gergő,Németh,Male,Hungary,Hungary,HU,HUN
Katalin,Papp,Female,Hungary,Hungary,HU,HUN
Marko,Janković,Male,Serbia,Serbia,RS,SRB
Luka,Petrović,Male,Serbia,Serbia,RS,SRB
Ana,Ilić,Female,Serbia,Serbia,RS,SRB
Nemanja,Stevović,Male,Serbia,Serbia,RS,SRB
Jelena,Milošević,Female,Serbia,Serbia,RS,SRB
Vuk,Krstić,Male,Serbia,Serbia,RS,SRB
Milica,Živković,Female,Serbia,Serbia,RS,SRB
Stefan,Nikolić,Male,Serbia,Serbia,RS,SRB
Sara,Marković,Female,Serbia,Serbia,RS,SRB
Aleksandar,Đorđević,Male,Serbia,Serbia,RS,SRB
Lukas,Mayer,Male,Austria,Austria,AT,AUT
Max,Schmid,Male,Austria,Austria,AT,AUT
Anna,Huber,Female,Austria,Austria,AT,AUT
Dominik,Wagner,Male,Austria,Austria,AT,AUT
Lisa,Klein,Female,Austria,Austria,AT,AUT
Thomas,Hofmann,Male,Austria,Austria,AT,AUT
Sophie,Müller,Female,Austria,Austria,AT,AUT
Michael,Streich,Male,Austria,Austria,AT,AUT
Julia,Fischer,Female,Austria,Austria,AT,AUT
Christian,Kraus,Male,Austria,Austria,AT,AUT
Cian,O'Connor,Male,Ireland,Ireland,IE,IRL
Aidan,Ryan,Male,Ireland,Ireland,IE,IRL
Liam,Kelly,Male,Ireland,Ireland,IE,IRL
Saoirse,O'Brien,Female,Ireland,Ireland,IE,IRL
Ronan,Murphy,Male,Ireland,Ireland,IE,IRL
Ciara,Daly,Female,Ireland,Ireland,IE,IRL
Eamon,Hogan,Male,Ireland,Ireland,IE,IRL
Niamh,McDonagh,Female,Ireland,Ireland,IE,IRL
Darragh,O'Rourke,Male,Ireland,Ireland,IE,IRL
Aoife,Walsh,Female,Ireland,Ireland,IE,IRL
Rokas,Kazlauskas,Male,Lithuania,Lithuania,LT,LTU
Eimantas,Baltus,Male,Lithuania,Lithuania,LT,LTU
Gabrielė,Kazokaitė,Female,Lithuania,Lithuania,LT,LTU
Tomas,Šimkus,Male,Lithuania,Lithuania,LT,LTU
Aistė,Kairienė,Female,Lithuania,Lithuania,LT,LTU
Vaidotas,Žukauskas,Male,Lithuania,Lithuania,LT,LTU
Gintarė,Kriaučiūnienė,Female,Lithuania,Lithuania,LT,LTU
Mindaugas,Kriaučiūnas,Male,Lithuania,Lithuania,LT,LTU
Ugnė,Kazlauskaitė,Female,Lithuania,Lithuania,LT,LTU
Donatas,Žvirblis,Male,Lithuania,Lithuania,LT,LTU
Mārtiņš,Kalniņš,Male,Latvia,Latvia,LV,LVA
Jānis,Ērglis,Male,Latvia,Latvia,LV,LVA
Andris,Kļaviņš,Male,Latvia,Latvia,LV,LVA
Gunta,Kļava,Female,Latvia,Latvia,LV,LVA
Mārtiens,Vītols,Male,Latvia,Latvia,LV,LVA
Līva,Sīpola,Female,Latvia,Latvia,LV,LVA
Edgars,Bērziņš,Male,Latvia,Latvia,LV,LVA
Santa,Ērgle,Female,Latvia,Latvia,LV,LVA
Jāzeps,Kalniņš,Male,Latvia,Latvia,LV,LVA
Baiba,Kļaviņa,Female,Latvia,Latvia,LV,LVA
Ivan,Kralj,Male,Croatia,Croatia,HR,HRV
Marko,Šimić,Male,Croatia,Croatia,HR,HRV
Luka,Živković,Male,Croatia,Croatia,HR,HRV
Ana,Pavić,Female,Croatia,Croatia,HR,HRV
Matej,Kovač,Male,Croatia,Croatia,HR,HRV
Jelena,Štefanović,Female,Croatia,Croatia,HR,HRV
Tomislav,Ćosić,Male,Croatia,Croatia,HR,HRV
Katarina,Kraljić,Female,Croatia,Croatia,HR,HRV
Ante,Žagar,Male,Croatia,Croatia,HR,HRV
Sandra,Škorić,Female,Croatia,Croatia,HR,HRV
Emir,Krstić,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Aida,Ćorić,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Adnan,Hodžić,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Sanela,Kovačević,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Emin,Omerović,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Amira,Džafić,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Dženan,Ćatović,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Jasmina,Krstić,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Haris,Pajić,Male,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Nermina,Hodžić,Female,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BIH
Lukáš,Kováč,Male,Slovakia,Slovakia,SK,SVK
Tomáš,Mikloš,Male,Slovakia,Slovakia,SK,SVK
Peter,Ševčík,Male,Slovakia,Slovakia,SK,SVK
Marek,Hlaváč,Male,Slovakia,Slovakia,SK,SVK
Jana,Kováčová,Female,Slovakia,Slovakia,SK,SVK
Zuzana,Štefančíková,Female,Slovakia,Slovakia,SK,SVK
Martin,Kučera,Male,Slovakia,Slovakia,SK,SVK
Eva,Hrdličková,Female,Slovakia,Slovakia,SK,SVK
Richard,Varga,Male,Slovakia,Slovakia,SK,SVK
Soňa,Machová,Female,Slovakia,Slovakia,SK,SVK
Henrik,Kallas,Male,Estonia,Estonia,EE,EST
Marek,Raud,Male,Estonia,Estonia,EE,EST
Kadri,Kuusk,Female,Estonia,Estonia,EE,EST
Andres,Laur,Male,Estonia,Estonia,EE,EST
Liis,Tamm,Female,Estonia,Estonia,EE,EST
Tanel,Tõniste,Male,Estonia,Estonia,EE,EST
Evelin,Käär,Female,Estonia,Estonia,EE,EST
Kristjan,Kuusik,Male,Estonia,Estonia,EE,EST
Kätlin,Kangur,Female,Estonia,Estonia,EE,EST
Raul,Riis,Male,Estonia,Estonia,EE,EST
Sander,van der Meer,Male,Netherlands,Netherlands,NL,NLD
Lars,Jansen,Male,Netherlands,Netherlands,NL,NLD
Femke,de Jong,Female,Netherlands,Netherlands,NL,NLD
Maarten,Koopman,Male,Netherlands,Netherlands,NL,NLD
Lotte,van der Velden,Female,Netherlands,Netherlands,NL,NLD
Joris,Bakker,Male,Netherlands,Netherlands,NL,NLD
Sanne,Hofman,Female,Netherlands,Netherlands,NL,NLD
Ruben,Smit,Male,Netherlands,Netherlands,NL,NLD
Fleur,Kuipers,Female,Netherlands,Netherlands,NL,NLD
Thomas,van den Berg,Male,Netherlands,Netherlands,NL,NLD
Lukas,Studer,Male,Switzerland,Switzerland,CH,CHE
Andreas,Brunner,Male,Switzerland,Switzerland,CH,CHE
Sophie,Hoffmann,Female,Switzerland,Switzerland,CH,CHE
Fabian,Müller,Male,Switzerland,Switzerland,CH,CHE
Lena,Schmid,Female,Switzerland,Switzerland,CH,CHE
Reto,Keller,Male,Switzerland,Switzerland,CH,CHE
Nina,Widmer,Female,Switzerland,Switzerland,CH,CHE
Michael,Bachmann,Male,Switzerland,Switzerland,CH,CHE
Sarah,Herrmann,Female,Switzerland,Switzerland,CH,CHE
Dominik,Fischer,Male,Switzerland,Switzerland,CH,CHE
Vasile,Popescu,Male,Moldova,Moldova,MD,MDA
Ion,Grecu,Male,Moldova,Moldova,MD,MDA
Alexandru,Burlacu,Male,Moldova,Moldova,MD,MDA
Maria,Cebotari,Female,Moldova,Moldova,MD,MDA
Andrei,Munteanu,Male,Moldova,Moldova,MD,MDA
Elena,Gherman,Female,Moldova,Moldova,MD,MDA
Gheorghe,Ciobanu,Male,Moldova,Moldova,MD,MDA
Svetlana,Cocorean,Female,Moldova,Moldova,MD,MDA
Vitalie,Golban,Male,Moldova,Moldova,MD,MDA
Larisa,Cazac,Female,Moldova,Moldova,MD,MDA
Benoit,Debroux,Male,Belgium,Belgium,BE,BEL
Lena,Van den Broeck,Female,Belgium,Belgium,BE,BEL
Thibaut,Dujardin,Male,Belgium,Belgium,BE,BEL
Aurélie,Van der Linden,Female,Belgium,Belgium,BE,BEL
Maxime,Cools,Male,Belgium,Belgium,BE,BEL
Sophie,De Meyer,Female,Belgium,Belgium,BE,BEL
Joris,Vandenberghe,Male,Belgium,Belgium,BE,BEL
Laura,Van der Straeten,Female,Belgium,Belgium,BE,BEL
Bart,De Wilde,Male,Belgium,Belgium,BE,BEL
Charlotte,De Smet,Female,Belgium,Belgium,BE,BEL
Erjon,Hoxha,Male,Albania,Albania,AL,ALB
Ergin,Krasniqi,Male,Albania,Albania,AL,ALB
Ardian,Basha,Male,Albania,Albania,AL,ALB
Lorenc,Gjoni,Male,Albania,Albania,AL,ALB
Eglantina,Krasniqi,Female,Albania,Albania,AL,ALB
Enkeleida,Hoxha,Female,Albania,Albania,AL,ALB
Gjon,Lika,Male,Albania,Albania,AL,ALB
Anila,Gjoni,Female,Albania,Albania,AL,ALB
Ardi,Krasniqi,Male,Albania,Albania,AL,ALB
Ema,Basha,Female,Albania,Albania,AL,ALB
Lazar,Stojanovski,Male,Macedonia,Macedonia,MK,MKD
Vasil,Trajkovski,Male,Macedonia,Macedonia,MK,MKD
Ana,Krstevska,Female,Macedonia,Macedonia,MK,MKD
Stefan,Milevski,Male,Macedonia,Macedonia,MK,MKD
Milica,Jovanovska,Female,Macedonia,Macedonia,MK,MKD
Dragan,Nikolovski,Male,Macedonia,Macedonia,MK,MKD
Jovana,Stefanovska,Female,Macedonia,Macedonia,MK,MKD
Borce,Trajkovski,Male,Macedonia,Macedonia,MK,MKD
Nata,Krstevska,Female,Macedonia,Macedonia,MK,MKD
Kosta,Milevski,Male,Macedonia,Macedonia,MK,MKD
Matej,Kovač,Male,Slovenia,Slovenia,SI,SVN
Luka,Žagar,Male,Slovenia,Slovenia,SI,SVN
Anja,Kralj,Female,Slovenia,Slovenia,SI,SVN
Žiga,Bregar,Male,Slovenia,Slovenia,SI,SVN
Nina,Vidmar,Female,Slovenia,Slovenia,SI,SVN
Grega,Kralj,Male,Slovenia,Slovenia,SI,SVN
Katarina,Šturm,Female,Slovenia,Slovenia,SI,SVN
Bojan,Kovačič,Male,Slovenia,Slovenia,SI,SVN
Urška,Ferjančič,Female,Slovenia,Slovenia,SI,SVN
Aleš,Žnidaršič,Male,Slovenia,Slovenia,SI,SVN
Luka,Marković,Male,Montenegro,Montenegro,ME,MNE
Marko,Živković,Male,Montenegro,Montenegro,ME,MNE
Ana,Petrović,Female,Montenegro,Montenegro,ME,MNE
Vuk,Nikolić,Male,Montenegro,Montenegro,ME,MNE
Milena,Janković,Female,Montenegro,Montenegro,ME,MNE
Nemanja,Lazić,Male,Montenegro,Montenegro,ME,MNE
Jelena,Milošević,Female,Montenegro,Montenegro,ME,MNE
Stefan,Babić,Male,Montenegro,Montenegro,ME,MNE
Sara,Krstić,Female,Montenegro,Montenegro,ME,MNE
Aleksandar,Đurić,Male,Montenegro,Montenegro,ME,MNE
Andreas,Papadopoulos,Male,Cyprus,Cyprus,CY,CYP
Stavros,Georgiou,Male,Cyprus,Cyprus,CY,CYP
Eleni,Christou,Female,Cyprus,Cyprus,CY,CYP
Konstantinos,Karamanos,Male,Cyprus,Cyprus,CY,CYP
Maria,Mavroudi,Female,Cyprus,Cyprus,CY,CYP
Giorgos,Pavlou,Male,Cyprus,Cyprus,CY,CYP
Andri,Andreou,Male,Cyprus,Cyprus,CY,CYP
Eirini,Koukou,Female,Cyprus,Cyprus,CY,CYP
Nikos,Savvides,Male,Cyprus,Cyprus,CY,CYP
Sophia,Loizou,Female,Cyprus,Cyprus,CY,CYP
Jean,Schmit,Male,Luxembourg,Luxembourg,LU,LUX
Luc,Hoffmann,Male,Luxembourg,Luxembourg,LU,LUX
Maurice,Muller,Male,Luxembourg,Luxembourg,LU,LUX
François,Wagner,Male,Luxembourg,Luxembourg,LU,LUX
Marie,Thill,Female,Luxembourg,Luxembourg,LU,LUX
Sandra,Schneider,Female,Luxembourg,Luxembourg,LU,LUX
Pierre,Kieffer,Male,Luxembourg,Luxembourg,LU,LUX
Christine,Meyer,Female,Luxembourg,Luxembourg,LU,LUX
Jean-Pierre,Frick,Male,Luxembourg,Luxembourg,LU,LUX
Anne,Hoffmann,Female,Luxembourg,Luxembourg,LU,LUX
Jóannes,Mikkelsen,Male,Faroe Is.,Faroe Is.,FO,FRO
Bjarki,Jóhannesson,Male,Faroe Is.,Faroe Is.,FO,FRO
Rósa,Sørensen,Female,Faroe Is.,Faroe Is.,FO,FRO
Kári,Nielsen,Male,Faroe Is.,Faroe Is.,FO,FRO
Birna,Joensen,Female,Faroe Is.,Faroe Is.,FO,FRO
Jón,Petersen,Male,Faroe Is.,Faroe Is.,FO,FRO
Sól,Mortensen,Female,Faroe Is.,Faroe Is.,FO,FRO
Ólavur,Hansen,Male,Faroe Is.,Faroe Is.,FO,FRO
Lív,Jóhannsdóttir,Female,Faroe Is.,Faroe Is.,FO,FRO
Bjørn,Mikkelsen,Male,Faroe Is.,Faroe Is.,FO,FRO
Joan,Pujol,Male,Andorra,Andorra,AD,AND
Marc,Riba,Male,Andorra,Andorra,AD,AND
Sandra,Ballester,Female,Andorra,Andorra,AD,AND
Jordi,Vilalta,Male,Andorra,Andorra,AD,AND
Laia,Soler,Female,Andorra,Andorra,AD,AND
Oriol,Garcia,Male,Andorra,Andorra,AD,AND
Anna,Ferrer,Female,Andorra,Andorra,AD,AND
Xavier,Pons,Male,Andorra,Andorra,AD,AND
Nuria,Ramos,Female,Andorra,Andorra,AD,AND
Albert,Bosch,Male,Andorra,Andorra,AD,AND
Matthew,Cassar,Male,Malta,Malta,MT,MLT
Luke,Mifsud,Male,Malta,Malta,MT,MLT
Jessica,Borg,Female,Malta,Malta,MT,MLT
Aaron,Galea,Male,Malta,Malta,MT,MLT
Sarah,Farrugia,Female,Malta,Malta,MT,MLT
Michael,Camilleri,Male,Malta,Malta,MT,MLT
Emily,Micallef,Female,Malta,Malta,MT,MLT
James,Vella,Male,Malta,Malta,MT,MLT
Rebecca,Sant,Female,Malta,Malta,MT,MLT
Christopher,Mascarenhas,Male,Malta,Malta,MT,MLT
Dominik,Wohlwend,Male,Liechtenstein,Liechtenstein,LI,LIE
Lukas,Schwarz,Male,Liechtenstein,Liechtenstein,LI,LIE
Andreas,Brunner,Male,Liechtenstein,Liechtenstein,LI,LIE
Michael,Kinder,Male,Liechtenstein,Liechtenstein,LI,LIE
Sarah,Hilti,Female,Liechtenstein,Liechtenstein,LI,LIE
Julia,Ritter,Female,Liechtenstein,Liechtenstein,LI,LIE
Thomas,Müller,Male,Liechtenstein,Liechtenstein,LI,LIE
Lisa,Kaiser,Female,Liechtenstein,Liechtenstein,LI,LIE
Christian,Wurm,Male,Liechtenstein,Liechtenstein,LI,LIE
Anna,Schmid,Female,Liechtenstein,Liechtenstein,LI,LIE
William,Fallaize,Male,Guernsey,Guernsey,GG,GGY
Alexander,Le Page,Male,Guernsey,Guernsey,GG,GGY
Emily,De Jersey,Female,Guernsey,Guernsey,GG,GGY
James,Brehaut,Male,Guernsey,Guernsey,GG,GGY
Hannah,Filleul,Female,Guernsey,Guernsey,GG,GGY
Thomas,Gosselin,Male,Guernsey,Guernsey,GG,GGY
Sophie,Le Marquand,Female,Guernsey,Guernsey,GG,GGY
Edward,Rondel,Male,Guernsey,Guernsey,GG,GGY
Charlotte,De La Mare,Female,Guernsey,Guernsey,GG,GGY
Oliver,Fitzgerald,Male,Guernsey,Guernsey,GG,GGY
Alessandro,Rossi,Male,San Marino,San Marino,SM,SMR
Luca,Bianchi,Male,San Marino,San Marino,SM,SMR
Giulia,Fabbri,Female,San Marino,San Marino,SM,SMR
Marco,Mancini,Male,San Marino,San Marino,SM,SMR
Sara,Galli,Female,San Marino,San Marino,SM,SMR
Andrea,Pallini,Male,San Marino,San Marino,SM,SMR
Francesca,Ricci,Female,San Marino,San Marino,SM,SMR
Giovanni,Migliori,Male,San Marino,San Marino,SM,SMR
Lorenzo,Baldini,Male,San Marino,San Marino,SM,SMR
Chiara,Tosi,Female,San Marino,San Marino,SM,SMR
Luke,Garcia,Male,Gibraltar,Gibraltar,GI,GIB
Jamie,Fernandez,Male,Gibraltar,Gibraltar,GI,GIB
Emily,Brito,Female,Gibraltar,Gibraltar,GI,GIB
James,Rodriguez,Male,Gibraltar,Gibraltar,GI,GIB
Sophie,Gomez,Female,Gibraltar,Gibraltar,GI,GIB
Tom,Cruz,Male,Gibraltar,Gibraltar,GI,GIB
