lastnames,country,ISO numeric
Sobczak,Poland,616
Zalewski,Poland,616
Rossi,Italy,380
Bianchi,Italy,380
Romano,Italy,380
Esposito,Italy,380
Ferrari,Italy,380
Marino,Italy,380
Rizzo,Italy,380
Moretti,Italy,380
De Luca,Italy,380
Conti,Italy,380
Costa,Italy,380
Mancini,Italy,380
Giordano,Italy,380
Ricci,Italy,380
De Santis,Italy,380
Bernardi,Italy,380
Caputo,Italy,380
De Marco,Italy,380
Di Stefano,Italy,380
La Rosa,Italy,380
Torres,Italy,380
Fiorentino,Italy,380
De Angelis,Italy,380
Ruggiero,Italy,380
De Pasquale,Italy,380
Barbieri,Italy,380
De Vita,Italy,380
Di Mauro,Italy,380
De Simone,Italy,380
De Giorgi,Italy,380
De Blasio,Italy,380
De Nardo,Italy,380
De Caro,Italy,380
De Filippo,Italy,380
De Risi,Italy,380
De Tullio,Italy,380
De Cicco,Italy,380
Smith,United Kingdom,826
Taylor,United Kingdom,826
Jones,United Kingdom,826
Brown,United Kingdom,826
Williams,United Kingdom,826
Johnson,United Kingdom,826
Davies,United Kingdom,826
Evans,United Kingdom,826
Thomas,United Kingdom,826
Hall,United Kingdom,826
Walker,United Kingdom,826
White,United Kingdom,826
Martin,United Kingdom,826
Robinson,United Kingdom,826
Wright,United Kingdom,826
Harris,United Kingdom,826
King,United Kingdom,826
Lewis,United Kingdom,826
Clark,United Kingdom,826
Davis,United Kingdom,826
Mitchell,United Kingdom,826
Carter,United Kingdom,826
Phillips,United Kingdom,826
Watson,United Kingdom,826
Brooks,United Kingdom,826
James,United Kingdom,826
Wilson,United Kingdom,826
Anderson,United Kingdom,826
Scott,United Kingdom,826
Morgan,United Kingdom,826
Hughes,United Kingdom,826
Edwards,United Kingdom,826
Parker,United Kingdom,826
Turner,United Kingdom,826
Harrison,United Kingdom,826
Rogers,United Kingdom,826
Foster,United Kingdom,826
Simpson,United Kingdom,826
West,United Kingdom,826
Reynolds,United Kingdom,826
Nelson,United Kingdom,826
Baker,United Kingdom,826
Graham,United Kingdom,826
Sutton,United Kingdom,826
Fraser,United Kingdom,826
Butler,United Kingdom,826
Porter,United Kingdom,826
Russell,United Kingdom,826
Cole,United Kingdom,826
Hill,United Kingdom,826
Slater,United Kingdom,826
Pearson,United Kingdom,826
Fox,United Kingdom,826
Lane,United Kingdom,826
Hunt,United Kingdom,826
Popescu,Romania,642
Dumitru,Romania,642
Ionescu,Romania,642
Stefan,Romania,642
Munteanu,Romania,642
Gheorghe,Romania,642
Vasile,Romania,642
Constantin,Romania,642
Dragomir,Romania,642
Petrescu,Romania,642
 Marinescu,Romania,642
Niculescu,Romania,642
Florescu,Romania,642
Dinu,Romania,642
Cristescu,Romania,642
Mihalache,Romania,642
Rusu,Romania,642
Toma,Romania,642
Gavrila,Romania,642
Badea,Romania,642
Cazacu,Romania,642
Moldovan,Romania,642
Bucur,Romania,642
Dobre,Romania,642
Ilie,Romania,642
Cernea,Romania,642
Balan,Romania,642
Gheorghiu,Romania,642
Tudor,Romania,642
Vladu,Romania,642
Cristea,Romania,642
Muntean,Romania,642
Ghica,Romania,642
Dumitrache,Romania,642
Florea,Romania,642
Nicu,Romania,642
Dragan,Romania,642
Petrache,Romania,642
Mihaiu,Romania,642
Razvanu,Romania,642
Cazan,Romania,642
Gavril,Romania,642
Saskevich,Belarus,112
Kazlou,Belarus,112
Marchenko,Belarus,112
Shydlouski,Belarus,112
Kavalenia,Belarus,112
Lis,Belarus,112
Kazakou,Belarus,112
Hramyka,Belarus,112
Semenenko,Belarus,112
Vasilieu,Belarus,112
Rahachou,Belarus,112
Shyshko,Belarus,112
Kavalionak,Belarus,112
Savitski,Belarus,112
Kazak,Belarus,112
Hrynevich,Belarus,112
Lukashyk,Belarus,112
Semenchuk,Belarus,112
Kazakova,Belarus,112
Rybchanka,Belarus,112
Shydlouskaya,Belarus,112
Lisovski,Belarus,112
Papadopoulos,Greece,300
Georgiou,Greece,300
Nikolaidis,Greece,300
Kontogiannis,Greece,300
Rizos,Greece,300
Lambrakis,Greece,300
Vasilopoulos,Greece,300
Papadimitriou,Greece,300
Karamanos,Greece,300
Sotiropoulos,Greece,300
Ioannou,Greece,300
Christodoulou,Greece,300
Papachristou,Greece,300
Koukou,Greece,300
Georgiadis,Greece,300
Papagiannis,Greece,300
Nikolaou,Greece,300
Katsaros,Greece,300
Roussos,Greece,300
Papakonstantinou,Greece,300
Lazarou,Greece,300
Vlahos,Greece,300
Papadakis,Greece,300
Giannakopoulos,Greece,300
Kokkinos,Greece,300
Papazoglou,Greece,300
Sarris,Greece,300
Papachristodoulou,Greece,300
Karamanlis,Greece,300
Rallis,Greece,300
Papagiannopoulos,Greece,300
Nikolopoulos,Greece,300
Katsanos,Greece,300
Papakostas,Greece,300
Laskos,Greece,300
Vasilakos,Greece,300
Giannopoulos,Greece,300
Kokkoris,Greece,300
Papazisis,Greece,300
Sarantopoulos,Greece,300
Rizopoulos,Greece,300
Lazaridis,Greece,300
Vlahakis,Greece,300
Giannakidis,Greece,300
Kokkinakis,Greece,300
Ivanov,Bulgaria,100
Petrov,Bulgaria,100
Nikolov,Bulgaria,100
Georgiev,Bulgaria,100
Dimitrov,Bulgaria,100
Stefanov,Bulgaria,100
Todorov,Bulgaria,100
Vasilev,Bulgaria,100
Mihaylov,Bulgaria,100
Rusev,Bulgaria,100
Kolev,Bulgaria,100
Pavlov,Bulgaria,100
Atanasov,Bulgaria,100
Dimitrova,Bulgaria,100
Vladimirov,Bulgaria,100
Mladenov,Bulgaria,100
Stoyanov,Bulgaria,100
Nikolova,Bulgaria,100
Iliev,Bulgaria,100
Rumenov,Bulgaria,100
Kostadinov,Bulgaria,100
Velinov,Bulgaria,100
Tsvetkov,Bulgaria,100
Bozhkov,Bulgaria,100
Genchev,Bulgaria,100
Penev,Bulgaria,100
Kuzmanov,Bulgaria,100
Ralev,Bulgaria,100
Vasileva,Bulgaria,100
Simeonov,Bulgaria,100
Tanev,Bulgaria,100
Nedelchev,Bulgaria,100
Lazarov,Bulgaria,100
Vladimirova,Bulgaria,100
Radoslavov,Bulgaria,100
Tsonkov,Bulgaria,100
Kostova,Bulgaria,100
Dobreva,Bulgaria,100
Petrova,Bulgaria,100
Georgieva,Bulgaria,100
Arnarson,Iceland,352
Ásgeirsson,Iceland,352
Bjarnason,Iceland,352
Björnsson,Iceland,352
Dalsson,Iceland,352
Einarsdóttir,Iceland,352
Eiríksdóttir,Iceland,352
Eyjólfsson,Iceland,352
Finnbogason,Iceland,352
Gíslasson,Iceland,352
Gudmundsson,Iceland,352
Gunnarsson,Iceland,352
Gunnlaugsson,Iceland,352
Hallsson,Iceland,352
Hauksson,Iceland,352
Helgason,Iceland,352
Hjálmarsson,Iceland,352
Hreiðarsson,Iceland,352
Ingólfsson,Iceland,352
Jóhannesson,Iceland,352
Jónsson,Iceland,352
Karlsson,Iceland,352
Kristjánsson,Iceland,352
Larusson,Iceland,352
Laxdalsson,Iceland,352
 Magnússon,Iceland,352
Marteinsson,Iceland,352
Matthíasdóttir,Iceland,352
Melkorksson,Iceland,352
Ólafsson,Iceland,352
Óskarsson,Iceland,352
Pálsson,Iceland,352
Ragnarsson,Iceland,352
Reykjavíksson,Iceland,352
Róbertsson,Iceland,352
Salómonsson,Iceland,352
Sigmundsson,Iceland,352
Sigurðsson,Iceland,352
Snæbjörnsson,Iceland,352
Sóleyjárnsson,Iceland,352
Steinþórsson,Iceland,352
Þórarinnsson,Iceland,352
Þórðursson,Iceland,352
Þórunnsson,Iceland,352
Valbjörnsson,Iceland,352
Vésteinnsson,Iceland,352
Vigfússon,Iceland,352
Vilhjálmsson,Iceland,352
Ýmirsson,Iceland,352
Silva,Portugal,620
Santos,Portugal,620
Oliveira,Portugal,620
Costa,Portugal,620
Pereira,Portugal,620
Ferreira,Portugal,620
Almeida,Portugal,620
Ribeiro,Portugal,620
Gomes,Portugal,620
Lopes,Portugal,620
Martins,Portugal,620
Neves,Portugal,620
Carvalho,Portugal,620
Teixeira,Portugal,620
Mendes,Portugal,620
Araújo,Portugal,620
Barbosa,Portugal,620
Fonseca,Portugal,620
Castro,Portugal,620
Pinto,Portugal,620
Moura,Portugal,620
Vieira,Portugal,620
Sousa,Portugal,620
Nunes,Portugal,620
Gonçalves,Portugal,620
Cunha,Portugal,620
Brito,Portugal,620
Moreira,Portugal,620
Pacheco,Portugal,620
Reis,Portugal,620
Lima,Portugal,620
Machado,Portugal,620
Correia,Portugal,620
Faria,Portugal,620
Simões,Portugal,620
Marques,Portugal,620
Coelho,Portugal,620
Tavares,Portugal,620
Azevedo,Portugal,620
Novák,Czech Republic,203
Svobodová,Czech Republic,203
Kovář,Czech Republic,203
Černý,Czech Republic,203
Hájek,Czech Republic,203
Šťastný,Czech Republic,203
Dvořák,Czech Republic,203
Procházka,Czech Republic,203
Kříž,Czech Republic,203
Veselý,Czech Republic,203
Bartoň,Czech Republic,203
Šťovíková,Czech Republic,203
Havlík,Czech Republic,203
Král,Czech Republic,203
Růžička,Czech Republic,203
Šimůnek,Czech Republic,203
Mareš,Czech Republic,203
Fiala,Czech Republic,203
Krejčí,Czech Republic,203
Urban,Czech Republic,203
Holub,Czech Republic,203
Šulc,Czech Republic,203
Kučera,Czech Republic,203
Vágner,Czech Republic,203
Havlíčková,Czech Republic,203
Kolář,Czech Republic,203
Pospíšil,Czech Republic,203
Šťovíček,Czech Republic,203
Hájová,Czech Republic,203
Beneš,Czech Republic,203
Křížová,Czech Republic,203
Veselá,Czech Republic,203
Bartoňová,Czech Republic,203
Šulcová,Czech Republic,203
Kolářová,Czech Republic,203
Pospíšilová,Czech Republic,203
Jensen,Denmark,208
Hansen,Denmark,208
Nielsen,Denmark,208
Andersen,Denmark,208
Pedersen,Denmark,208
Christensen,Denmark,208
Larsen,Denmark,208
Madsen,Denmark,208
Petersen,Denmark,208
Olsen,Denmark,208
Sørensen,Denmark,208
Rasmussen,Denmark,208
Jørgensen,Denmark,208
Mikkelsen,Denmark,208
Thomsen,Denmark,208
Kristensen,Denmark,208
Haugaard,Denmark,208
Bendsen,Denmark,208
Eriksen,Denmark,208
Knudsen,Denmark,208
Frandsen,Denmark,208
Svendsen,Denmark,208
Jespersen,Denmark,208
Møller,Denmark,208
Laursen,Denmark,208
Henriksen,Denmark,208
Villadsen,Denmark,208
Bruun,Denmark,208
Rønne,Denmark,208
Kjær,Denmark,208
Skov,Denmark,208
Bæk,Denmark,208
Thygesen,Denmark,208
Vestergaard,Denmark,208
Højbjerg,Denmark,208
Fogh,Denmark,208
Lindberg,Denmark,208
Bøggild,Denmark,208
Hartmann,Denmark,208
Németh,Hungary,348
Kovács,Hungary,348
Tóth,Hungary,348
Szabó,Hungary,348
Farkas,Hungary,348
Molnár,Hungary,348
Varga,Hungary,348
Hegedüs,Hungary,348
Kiss,Hungary,348
Nagy,Hungary,348
Fekete,Hungary,348
Balogh,Hungary,348
Rózsa,Hungary,348
Simon,Hungary,348
Horváth,Hungary,348
Juhász,Hungary,348
Gál,Hungary,348
Lakatos,Hungary,348
Fodor,Hungary,348
Papp,Hungary,348
Szekeres,Hungary,348
Mészáros,Hungary,348
Kocsis,Hungary,348
Takács,Hungary,348
Barna,Hungary,348
Sipos,Hungary,348
Győri,Hungary,348
Fehér,Hungary,348
Király,Hungary,348
Böhm,Hungary,348
Sánta,Hungary,348
Török,Hungary,348
Pécsi,Hungary,348
Kertész,Hungary,348
Vörös,Hungary,348
Bajcsi,Hungary,348
Rácz,Hungary,348
Szluka,Hungary,348
Borbás,Hungary,348
Tóbiás,Hungary,348
Hajdu,Hungary,348
Jović,Serbia,688
Petrović,Serbia,688
Stojanović,Serbia,688
Marković,Serbia,688
Janković,Serbia,688
Vasić,Serbia,688
Milošević,Serbia,688
Lazić,Serbia,688
Ristić,Serbia,688
Nikolić,Serbia,688
Gajić,Serbia,688
Stevanović,Serbia,688
Živanović,Serbia,688
Kovačević,Serbia,688
Vuković,Serbia,688
Radović,Serbia,688
Ilić,Serbia,688
Mitrović,Serbia,688
Todorović,Serbia,688
Božović,Serbia,688
Savić,Serbia,688
Dimitrijević,Serbia,688
Mihajlović,Serbia,688
Ćosić,Serbia,688
Lukić,Serbia,688
Cvetković,Serbia,688
Stanojević,Serbia,688
Radojičić,Serbia,688
Bogić,Serbia,688
Jelić,Serbia,688
Gvozdenović,Serbia,688
Mladenović,Serbia,688
Sretenović,Serbia,688
Vujović,Serbia,688
Krstić,Serbia,688
Dujović,Serbia,688
Rajić,Serbia,688
Bajić,Serbia,688
Mijović,Serbia,688
Golubović,Serbia,688
Vujadinović,Serbia,688
Jovanović,Serbia,688
Huber,Austria,40
Gruber,Austria,40
Fuchs,Austria,40
Moser,Austria,40
Wagner,Austria,40
Pichler,Austria,40
Schmid,Austria,40
Fischer,Austria,40
Weber,Austria,40
Klein,Austria,40
Bauer,Austria,40
Schwarz,Austria,40
Mayer,Austria,40
Hofmann,Austria,40
Kraus,Austria,40
Riedl,Austria,40
Steiner,Austria,40
Lang,Austria,40
Friedl,Austria,40
Eder,Austria,40
Hartmann,Austria,40
Schuster,Austria,40
Koller,Austria,40
Binder,Austria,40
Winkler,Austria,40
Schreiber,Austria,40
Leitner,Austria,40
Kolm,Austria,40
Rainer,Austria,40
Singer,Austria,40
Stolz,Austria,40
Fellner,Austria,40
Höller,Austria,40
König,Austria,40
Perner,Austria,40
Rath,Austria,40
Scheiber,Austria,40
Siegel,Austria,40
Sturm,Austria,40
Tauscher,Austria,40
Uhl,Austria,40
Vogl,Austria,40
Waldmann,Austria,40
Weinberger,Austria,40
Zimmermann,Austria,40
O'Brien,Ireland,372
Walsh,Ireland,372
Kelly,Ireland,372
Ryan,Ireland,372
Daly,Ireland,372
Murphy,Ireland,372
Byrne,Ireland,372
Sullivan,Ireland,372
Connor,Ireland,372
McCarthy,Ireland,372
Doyle,Ireland,372
Griffin,Ireland,372
Sheehan,Ireland,372
Gleeson,Ireland,372
Kavanagh,Ireland,372
Fitzgerald,Ireland,372
Lynch,Ireland,372
Cahill,Ireland,372
Murray,Ireland,372
Quinn,Ireland,372
Dunne,Ireland,372
O'Connor,Ireland,372
Kennedy,Ireland,372
McGrath,Ireland,372
Hickey,Ireland,372
Maher,Ireland,372
O'Neill,Ireland,372
Reilly,Ireland,372
Flynn,Ireland,372
Slattery,Ireland,372
Cullen,Ireland,372
Bourke,Ireland,372
Hogan,Ireland,372
Tobin,Ireland,372
Moore,Ireland,372
Hurley,Ireland,372
Lane,Ireland,372
Foley,Ireland,372
Healy,Ireland,372
Dillon,Ireland,372
Cody,Ireland,372
Kearney,Ireland,372
Meehan,Ireland,372
Donovan,Ireland,372
Adomaitis,Lithuania,440
Girčius,Lithuania,440
Rimkus,Lithuania,440
Vaitkus,Lithuania,440
Aleksandravičius,Lithuania,440
Gražytė,Lithuania,440
Rinkevičius,Lithuania,440
Vėlius,Lithuania,440
Dagys,Lithuania,440
Ambraziūnas,Lithuania,440
Gudaitis,Lithuania,440
Rimša,Lithuania,440
Vaičiūnas,Lithuania,440
Aleksiejūnas,Lithuania,440
Gvildienė,Lithuania,440
Rinkūnas,Lithuania,440
Vėlavičius,Lithuania,440
Andriuškevičius,Lithuania,440
Gražulevičius,Lithuania,440
Rimantas,Lithuania,440
Vėlioniškis,Lithuania,440
Antanavičius,Lithuania,440
Gudonienė,Lithuania,440
Rokas,Lithuania,440
Arlauskis,Lithuania,440
Ivanauskas,Lithuania,440
Salomėja,Lithuania,440
Žukauskas,Lithuania,440
Astikaitė,Lithuania,440
Ivanauskienė,Lithuania,440
Saulėnas,Lithuania,440
Žvirblis,Lithuania,440
Audickas,Lithuania,440
Simanavičius,Lithuania,440
Žukauskienė,Lithuania,440
Aurelijus,Lithuania,440
Stasiūnas,Lithuania,440
Žvirgždas,Lithuania,440
Ozoliņš,Latvia,428
Kalniņš,Latvia,428
Bērziņš,Latvia,428
Ēķis,Latvia,428
Jansons,Latvia,428
Līcīte,Latvia,428
Rūsiņš,Latvia,428
Ieviņš,Latvia,428
Kļaviņš,Latvia,428
Dālberga,Latvia,428
Auzāns,Latvia,428
Līdums,Latvia,428
Eglītis,Latvia,428
Sīmanis,Latvia,428
Gailītis,Latvia,428
Bāliņš,Latvia,428
Mārtiņš,Latvia,428
Āboltiņš,Latvia,428
Jēkabsons,Latvia,428
Līpe,Latvia,428
Raiņiš,Latvia,428
Ikaunieks,Latvia,428
Kļava,Latvia,428
Dzelzītis,Latvia,428
Arenda,Latvia,428
Līdēns,Latvia,428
Eihmans,Latvia,428
Sproģis,Latvia,428
Griķis,Latvia,428
Bērzīns,Latvia,428
Mārtins,Latvia,428
Āboltiņa,Latvia,428
Kovač,Croatia,191
Babić,Croatia,191
Horvat,Croatia,191
Matić,Croatia,191
Jurić,Croatia,191
Kovačić,Croatia,191
Pavić,Croatia,191
Martinović,Croatia,191
Šarić,Croatia,191
Blažić,Croatia,191
Vuković,Croatia,191
Miloš,Croatia,191
Križan,Croatia,191
Jelavić,Croatia,191
Majstorović,Croatia,191
Kovačević,Croatia,191
Petrović,Croatia,191
Ristić,Croatia,191
Šimunić,Croatia,191
Hodžić,Bosnia and Herzegovina,70
Ćorić,Bosnia and Herzegovina,70
Mujkić,Bosnia and Herzegovina,70
Kovačević,Bosnia and Herzegovina,70
Begić,Bosnia and Herzegovina,70
Džumhur,Bosnia and Herzegovina,70
Ćemalović,Bosnia and Herzegovina,70
Prljić,Bosnia and Herzegovina,70
Živanović,Bosnia and Herzegovina,70
Kovač,Bosnia and Herzegovina,70
Mulić,Bosnia and Herzegovina,70
Delić,Bosnia and Herzegovina,70
Ćatić,Bosnia and Herzegovina,70
Babić,Bosnia and Herzegovina,70
Ćorović,Bosnia and Herzegovina,70
Mehmedović,Bosnia and Herzegovina,70
Koljić,Bosnia and Herzegovina,70
Hlavac,Slovakia,703
Slovak,Slovakia,703
Novak,Slovakia,703
Kovac,Slovakia,703
Hajduk,Slovakia,703
Miklos,Slovakia,703
Sedlak,Slovakia,703
Varga,Slovakia,703
Krajcovic,Slovakia,703
Hruby,Slovakia,703
Danko,Slovakia,703
Benes,Slovakia,703
Kolar,Slovakia,703
Sabo,Slovakia,703
Hudec,Slovakia,703
Fedor,Slovakia,703
Kovacs,Slovakia,703
Molnar,Slovakia,703
Szigeti,Slovakia,703
Hornak,Slovakia,703
Kiss,Slovakia,703
Csepcsansky,Slovakia,703
Gabor,Slovakia,703
Laczkovics,Slovakia,703
Hajnal,Slovakia,703
Kovacsik,Slovakia,703
Farkas,Slovakia,703
Sedivy,Slovakia,703
Hlavaty,Slovakia,703
Kolarik,Slovakia,703
Hudekova,Slovakia,703
Bartos,Slovakia,703
Krajcik,Slovakia,703
Benesova,Slovakia,703
Kolarova,Slovakia,703
Tamm,Estonia,233
Kask,Estonia,233
Mägi,Estonia,233
Raudsepp,Estonia,233
Kõiv,Estonia,233
Lind,Estonia,233
Jõesaar,Estonia,233
Võsu,Estonia,233
Kõrv,Estonia,233
Eigi,Estonia,233
Kuusik,Estonia,233
Raud,Estonia,233
Mõttus,Estonia,233
Kõresaar,Estonia,233
Liiv,Estonia,233
Jõgi,Estonia,233
Võõmaa,Estonia,233
Kõmmussaar,Estonia,233
Eikla,Estonia,233
Kuuskmaa,Estonia,233
Raudsep,Estonia,233
Mõis,Estonia,233
Kõivup,Estonia,233
Lindu,Estonia,233
Jõesaare,Estonia,233
Võhk,Estonia,233
Kõrvu,Estonia,233
Eigla,Estonia,233
Kuuskmann,Estonia,233
Raudu,Estonia,233
Mõtt,Estonia,233
Kõresaare,Estonia,233
Liivu,Estonia,233
Jõe,Estonia,233
Võõm,Estonia,233
Kõmmussaare,Estonia,233
Eiklu,Estonia,233
Kuuskma,Estonia,233
Raudvee,Estonia,233
Mõisu,Estonia,233
Kõivupu,Estonia,233
Jõesaaru,Estonia,233
Võhku,Estonia,233
Eiglu,Estonia,233
Bakker,Netherlands,528
Jansen,Netherlands,528
De Vries,Netherlands,528
Van den Berg,Netherlands,528
Smit,Netherlands,528
De Jong,Netherlands,528
Hofman,Netherlands,528
Van der Meer,Netherlands,528
Kuiper,Netherlands,528
De Wit,Netherlands,528
Bosch,Netherlands,528
Van der Velden,Netherlands,528
Dijkstra,Netherlands,528
Van Leeuwen,Netherlands,528
Scholten,Netherlands,528
De Graaf,Netherlands,528
Kroon,Netherlands,528
Van der Linden,Netherlands,528
Hendriks,Netherlands,528
De Haan,Netherlands,528
Veldman,Netherlands,528
Van der Wal,Netherlands,528
Koster,Netherlands,528
De Vos,Netherlands,528
Brouwer,Netherlands,528
Scheepers,Netherlands,528
De Koning,Netherlands,528
Van der Laan,Netherlands,528
Hartman,Netherlands,528
De Ruiter,Netherlands,528
Veenstra,Netherlands,528
Kramer,Netherlands,528
De Witte,Netherlands,528
Bergman,Netherlands,528
Schoemaker,Netherlands,528
De Graaff,Netherlands,528
Kroes,Netherlands,528
Hendriksen,Netherlands,528
Veldkamp,Netherlands,528
Fuchs,Switzerland,756
Müller,Switzerland,756
Roth,Switzerland,756
Schmid,Switzerland,756
Hofmann,Switzerland,756
Keller,Switzerland,756
